CIK,Wiki
1800,https://en.wikipedia.org/wiki/Abbott_Laboratories
2969,https://en.wikipedia.org/wiki/Air_Products_%26_Chemicals
4127,https://en.wikipedia.org/wiki/Skyworks_Solutions
4281,https://en.wikipedia.org/wiki/Arconic
4447,https://en.wikipedia.org/wiki/Hess_Corporation
4904,https://en.wikipedia.org/wiki/American_Electric_Power
4962,https://en.wikipedia.org/wiki/American_Express
4977,https://en.wikipedia.org/wiki/Aflac
5272,https://en.wikipedia.org/wiki/American_International_Group
5513,https://en.wikipedia.org/wiki/Unum
6201,https://en.wikipedia.org/wiki/American_Airlines_Group
6281,https://en.wikipedia.org/wiki/Analog_Devices
6769,https://en.wikipedia.org/wiki/Apache_Corporation
6951,https://en.wikipedia.org/wiki/Applied_Materials
7084,https://en.wikipedia.org/wiki/Archer_Daniels_Midland
7332,https://en.wikipedia.org/wiki/Southwestern_Energy
8670,https://en.wikipedia.org/wiki/ADP_(company)
8818,https://en.wikipedia.org/wiki/Avery_Dennison
9389,https://en.wikipedia.org/wiki/Ball_Corporation
9892,https://en.wikipedia.org/wiki/C._R._Bard
10456,https://en.wikipedia.org/wiki/Baxter_International
10795,https://en.wikipedia.org/wiki/Becton_Dickinson
12659,https://en.wikipedia.org/wiki/H%26R_Block
12927,https://en.wikipedia.org/wiki/Boeing
14272,https://en.wikipedia.org/wiki/Bristol-Myers_Squibb
14693,https://en.wikipedia.org/wiki/Brown%E2%80%93Forman
16732,https://en.wikipedia.org/wiki/Campbell_Soup_Company
16918,https://en.wikipedia.org/wiki/Constellation_Brands
18230,https://en.wikipedia.org/wiki/Caterpillar_Inc.
18926,https://en.wikipedia.org/wiki/CenturyLink
19617,https://en.wikipedia.org/wiki/JPMorgan_Chase
20286,https://en.wikipedia.org/wiki/Cincinnati_Financial
20520,https://en.wikipedia.org/wiki/Frontier_Communications
21076,https://en.wikipedia.org/wiki/Clorox
21344,https://en.wikipedia.org/wiki/The_Coca-Cola_Company
21665,https://en.wikipedia.org/wiki/Colgate-Palmolive
23217,https://en.wikipedia.org/wiki/Conagra_Brands
24545,https://en.wikipedia.org/wiki/Molson_Coors_Beverage_Company
24741,https://en.wikipedia.org/wiki/Corning_Inc.
26172,https://en.wikipedia.org/wiki/Cummins
27419,https://en.wikipedia.org/wiki/Target_Corporation
27904,https://en.wikipedia.org/wiki/Delta_Air_Lines
28412,https://en.wikipedia.org/wiki/Comerica
29534,https://en.wikipedia.org/wiki/Dollar_General
29905,https://en.wikipedia.org/wiki/Dover_Corporation
29915,https://en.wikipedia.org/wiki/Dow_Chemical_Company
29989,https://en.wikipedia.org/wiki/Omnicom_Group
30554,https://en.wikipedia.org/wiki/DuPont
30625,https://en.wikipedia.org/wiki/Flowserve
31462,https://en.wikipedia.org/wiki/Ecolab
31791,https://en.wikipedia.org/wiki/PerkinElmer
32604,https://en.wikipedia.org/wiki/Emerson_Electric
33185,https://en.wikipedia.org/wiki/Equifax
33213,https://en.wikipedia.org/wiki/EQT
34088,https://en.wikipedia.org/wiki/ExxonMobil
34903,https://en.wikipedia.org/wiki/Federal_Realty_Investment_Trust
35527,https://en.wikipedia.org/wiki/Fifth_Third_Bank
36104,https://en.wikipedia.org/wiki/U.S._Bancorp
36270,https://en.wikipedia.org/wiki/M%26T_Bank
37785,https://en.wikipedia.org/wiki/FMC_Corporation
37996,https://en.wikipedia.org/wiki/Ford_Motor_Company
38777,https://en.wikipedia.org/wiki/Franklin_Templeton_Investments
39899,https://en.wikipedia.org/wiki/Tegna_Inc.
39911,https://en.wikipedia.org/wiki/Gap_Inc.
40533,https://en.wikipedia.org/wiki/General_Dynamics
40545,https://en.wikipedia.org/wiki/General_Electric
40704,https://en.wikipedia.org/wiki/General_Mills
40987,https://en.wikipedia.org/wiki/Genuine_Parts_Company
42582,https://en.wikipedia.org/wiki/Goodyear_Tire_and_Rubber_Company
45012,https://en.wikipedia.org/wiki/Halliburton
46080,https://en.wikipedia.org/wiki/Hasbro
46765,https://en.wikipedia.org/wiki/Helmerich_%26_Payne
47111,https://en.wikipedia.org/wiki/The_Hershey_Company
47217,https://en.wikipedia.org/wiki/HP_Inc.
48465,https://en.wikipedia.org/wiki/Hormel
49071,https://en.wikipedia.org/wiki/Humana
49196,https://en.wikipedia.org/wiki/Huntington_Bancshares
49826,https://en.wikipedia.org/wiki/Illinois_Tool_Works
50104,https://en.wikipedia.org/wiki/Andeavor
50863,https://en.wikipedia.org/wiki/Intel
51143,https://en.wikipedia.org/wiki/IBM
51253,https://en.wikipedia.org/wiki/International_Flavors_%26_Fragrances
51434,https://en.wikipedia.org/wiki/International_Paper
51644,https://en.wikipedia.org/wiki/The_Interpublic_Group_of_Companies
52988,https://en.wikipedia.org/wiki/Jacobs_Engineering_Group
54480,https://en.wikipedia.org/wiki/Kansas_City_Southern_(company)
55067,https://en.wikipedia.org/wiki/Kellogg%27s
55785,https://en.wikipedia.org/wiki/Kimberly-Clark
56873,https://en.wikipedia.org/wiki/Kroger
58492,https://en.wikipedia.org/wiki/Leggett_%26_Platt
59478,https://en.wikipedia.org/wiki/Eli_Lilly_and_Company
59558,https://en.wikipedia.org/wiki/Lincoln_National_Corporation
60086,https://en.wikipedia.org/wiki/Loews_Corporation
60667,https://en.wikipedia.org/wiki/Lowe%27s
62709,https://en.wikipedia.org/wiki/Marsh_%26_McLennan_Companies
62996,https://en.wikipedia.org/wiki/Masco
63276,https://en.wikipedia.org/wiki/Mattel
63754,https://en.wikipedia.org/wiki/McCormick_%26_Company
63908,https://en.wikipedia.org/wiki/McDonald%27s
64040,https://en.wikipedia.org/wiki/S%26P_Global
64670,https://en.wikipedia.org/wiki/Medtronic
64803,https://en.wikipedia.org/wiki/CVS_Health
65984,https://en.wikipedia.org/wiki/Entergy
66740,https://en.wikipedia.org/wiki/3M
68505,https://en.wikipedia.org/wiki/Motorola_Solutions
69499,https://en.wikipedia.org/wiki/Mylan
70858,https://en.wikipedia.org/wiki/Bank_of_America
72207,https://en.wikipedia.org/wiki/Noble_Energy
72333,https://en.wikipedia.org/wiki/Nordstrom
72741,https://en.wikipedia.org/wiki/Eversource_Energy
72903,https://en.wikipedia.org/wiki/Xcel_Energy
72971,https://en.wikipedia.org/wiki/Wells_Fargo
73124,https://en.wikipedia.org/wiki/Northern_Trust
73309,https://en.wikipedia.org/wiki/Nucor
74208,"https://en.wikipedia.org/wiki/UDR,_Inc."
75362,https://en.wikipedia.org/wiki/Paccar
76334,https://en.wikipedia.org/wiki/Parker_Hannifin
77360,https://en.wikipedia.org/wiki/Pentair
77476,https://en.wikipedia.org/wiki/PepsiCo
78003,https://en.wikipedia.org/wiki/Pfizer
78239,https://en.wikipedia.org/wiki/PVH_(company)
78814,https://en.wikipedia.org/wiki/Pitney_Bowes
79879,https://en.wikipedia.org/wiki/PPG_Industries
80424,https://en.wikipedia.org/wiki/Procter_%26_Gamble
80661,https://en.wikipedia.org/wiki/Progressive_Corporation
85961,https://en.wikipedia.org/wiki/Ryder
86312,https://en.wikipedia.org/wiki/The_Travelers_Companies
87347,https://en.wikipedia.org/wiki/Schlumberger
89800,https://en.wikipedia.org/wiki/Sherwin-Williams
91419,https://en.wikipedia.org/wiki/The_J.M._Smucker_Company
91440,https://en.wikipedia.org/wiki/Snap-on
91576,https://en.wikipedia.org/wiki/KeyBank
92122,https://en.wikipedia.org/wiki/Southern_Company
92230,https://en.wikipedia.org/wiki/Truist_Financial
92380,https://en.wikipedia.org/wiki/Southwest_Airlines
93410,https://en.wikipedia.org/wiki/Chevron_Corporation
93556,https://en.wikipedia.org/wiki/Stanley_Black_%26_Decker
93751,https://en.wikipedia.org/wiki/State_Street_Corporation
96021,https://en.wikipedia.org/wiki/Sysco
96223,https://en.wikipedia.org/wiki/Jefferies_Financial_Group
97476,https://en.wikipedia.org/wiki/Texas_Instruments
97745,https://en.wikipedia.org/wiki/Thermo_Fisher_Scientific
98246,https://en.wikipedia.org/wiki/Tiffany_%26_Co.
100493,https://en.wikipedia.org/wiki/Tyson_Foods
100517,https://en.wikipedia.org/wiki/United_Airlines_Holdings
100885,https://en.wikipedia.org/wiki/Union_Pacific_Railroad
101778,https://en.wikipedia.org/wiki/Marathon_Oil
101829,https://en.wikipedia.org/wiki/United_Technologies
103379,https://en.wikipedia.org/wiki/VF_Corporation
104169,https://en.wikipedia.org/wiki/Walmart
106040,https://en.wikipedia.org/wiki/Western_Digital
106535,https://en.wikipedia.org/wiki/Weyerhaeuser
106640,https://en.wikipedia.org/wiki/Whirlpool_Corporation
107263,https://en.wikipedia.org/wiki/Williams_Companies
108772,https://en.wikipedia.org/wiki/Xerox
109198,https://en.wikipedia.org/wiki/TJX_Companies
109380,https://en.wikipedia.org/wiki/Zions_Bancorporation
200406,https://en.wikipedia.org/wiki/Johnson_%26_Johnson
202058,https://en.wikipedia.org/wiki/Harris_Corporation
